Date,Open,High,Low,Close,Effective Date,Bank Rate,Repo,Reverse Repo,Standing Deposit Facility (SDF) Rate,Marginal Standing Facility (MSF) Rate,Cash Reserve Ratio (CRR),Statutory Liquidity Ratio (SLR)
2024-01-02,48194.80,48223.55,47689.80,47761.65,2023-02-08,6.75,6.50,3.35,6.25,6.75,4.5,18.00
2024-01-03,47796.30,47798.75,47481.35,47704.95,2023-02-08,6.75,6.50,3.35,6.25,6.75,4.5,18.00
2024-01-04,47805.40,48281.20,47738.15,48195.85,2023-02-08,6.75,6.50,3.35,6.25,6.75,4.5,18.00
2024-01-05,48245.55,48381.95,47822.85,48159.0,2023-02-08,6.75,6.50,3.35,6.25,6.75,4.5,18.00
2024-01-08,48096.65,48154.50,47387.35,47450.25,2023-02-08,6.75,6.50,3.35,6.25,6.75,4.5,18.00
2024-01-09,47705.40,47939.30,47156.05,47242.65,2023-02-08,6.75,6.50,3.35,6.25,6.75,4.5,18.00
2024-01-10,47073.85,47423.45,47010.80,47360.85,2023-02-08,6.75,6.50,3.35,6.25,6.75,4.5,18.00
2024-01-11,47538.60,47662.10,47237.00,47438.35,2023-02-08,6.75,6.50,3.35,6.25,6.75,4.5,18.00
2024-01-12,47572.70,47873.70,47408.50,47709.8,2023-02-08,6.75,6.50,3.35,6.25,6.75,4.5,18.00
2024-01-15,47891.05,48248.05,47825.40,48158.3,2023-02-08,6.75,6.50,3.35,6.25,6.75,4.5,18.00
2024-01-16,48109.95,48305.40,48002.85,48125.1,2023-02-08,6.75,6.50,3.35,6.25,6.75,4.5,18.00
2024-01-17,46573.95,47212.75,45979.60,46064.45,2023-02-08,6.75,6.50,3.35,6.25,6.75,4.5,18.00
2024-01-18,45492.75,46184.05,45430.70,45713.55,2023-02-08,6.75,6.50,3.35,6.25,6.75,4.5,18.00
2024-01-19,46103.50,46249.85,45558.05,45701.15,2023-02-08,6.75,6.50,3.35,6.25,6.75,4.5,18.00
2024-01-20,45989.25,46183.70,45640.90,46058.2,2023-02-08,6.75,6.50,3.35,6.25,6.75,4.5,18.00
2024-01-23,46495.45,46580.30,44886.10,45015.05,2023-02-08,6.75,6.50,3.35,6.25,6.75,4.5,18.00
2024-01-24,44489.40,45485.50,44489.40,45082.4,2023-02-08,6.75,6.50,3.35,6.25,6.75,4.5,18.00
2024-01-25,45057.95,45139.05,44429.00,44866.15,2023-02-08,6.75,6.50,3.35,6.25,6.75,4.5,18.00
2024-01-29,45171.50,45660.35,45110.90,45442.35,2023-02-08,6.75,6.50,3.35,6.25,6.75,4.5,18.00
2024-01-30,45481.50,45678.70,45206.05,45367.75,2023-02-08,6.75,6.50,3.35,6.25,6.75,4.5,18.00
2024-01-31,45295.65,46179.75,45071.20,45996.8,2023-02-08,6.75,6.50,3.35,6.25,6.75,4.5,18.00
2024-02-01,46164.90,46306.90,45668.35,46188.65,2023-02-08,6.75,6.50,3.35,6.25,6.75,4.5,18.00
2024-02-02,46568.20,46892.35,45901.25,45970.95,2023-02-08,6.75,6.50,3.35,6.25,6.75,4.5,18.00
2024-02-05,45962.25,46048.60,45615.10,45825.55,2023-02-08,6.75,6.50,3.35,6.25,6.75,4.5,18.00
2024-02-06,45891.20,45932.15,45527.00,45690.8,2023-02-08,6.75,6.50,3.35,6.25,6.75,4.5,18.00
2024-02-07,45944.60,46062.85,45620.50,45818.5,2023-02-08,6.75,6.50,3.35,6.25,6.75,4.5,18.00
2024-02-08,45973.85,46181.20,44893.75,45012.0,2023-02-08,6.75,6.50,3.35,6.25,6.75,4.5,18.00
2024-02-09,44986.75,45718.15,44859.15,45634.55,2023-02-08,6.75,6.50,3.35,6.25,6.75,4.5,18.00
2024-02-12,45664.30,45748.50,44633.85,44882.25,2023-02-08,6.75,6.50,3.35,6.25,6.75,4.5,18.00
2024-02-13,45056.80,45750.40,44819.55,45502.4,2023-02-08,6.75,6.50,3.35,6.25,6.75,4.5,18.00
2024-02-14,45014.65,46170.45,44860.75,45908.3,2023-02-08,6.75,6.50,3.35,6.25,6.75,4.5,18.00
2024-02-15,46027.10,46297.70,45590.20,46218.9,2023-02-08,6.75,6.50,3.35,6.25,6.75,4.5,18.00
2024-02-16,46454.30,46693.40,46264.40,46384.85,2023-02-08,6.75,6.50,3.35,6.25,6.75,4.5,18.00
2024-02-19,46554.90,46717.40,46317.70,46535.5,2023-02-08,6.75,6.50,3.35,6.25,6.75,4.5,18.00
2024-02-20,46444.90,47136.75,46367.80,47094.2,2023-02-08,6.75,6.50,3.35,6.25,6.75,4.5,18.00
2024-02-21,47363.40,47363.40,46886.95,47019.7,2023-02-08,6.75,6.50,3.35,6.25,6.75,4.5,18.00
2024-02-22,46934.55,47024.05,46426.85,46919.8,2023-02-08,6.75,6.50,3.35,6.25,6.75,4.5,18.00
2024-02-23,47060.70,47245.35,46723.15,46811.75,2023-02-08,6.75,6.50,3.35,6.25,6.75,4.5,18.00
2024-02-26,46615.85,46893.15,46513.55,46576.5,2023-02-08,6.75,6.50,3.35,6.25,6.75,4.5,18.00
2024-02-27,46480.20,46722.25,46324.90,46588.05,2023-02-08,6.75,6.50,3.35,6.25,6.75,4.5,18.00
2024-02-28,46640.90,46754.55,45852.55,45963.15,2023-02-08,6.75,6.50,3.35,6.25,6.75,4.5,18.00
2024-02-29,45881.45,46329.65,45661.75,46120.9,2023-02-08,6.75,6.50,3.35,6.25,6.75,4.5,18.00
2024-03-01,46218.00,47342.25,46218.00,47286.9,2023-02-08,6.75,6.50,3.35,6.25,6.75,4.5,18.00
2024-03-02,47377.45,47433.85,47237.00,47297.5,2023-02-08,6.75,6.50,3.35,6.25,6.75,4.5,18.00
2024-03-04,47318.50,47529.60,47191.65,47456.1,2023-02-08,6.75,6.50,3.35,6.25,6.75,4.5,18.00
